N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Studiengang,AbschlussArt
449,Richtlinie zur Vergabe von besonderen Leistungsbezügen in der W-Besoldung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaasnupw,16.08.2016,2016/083,Richtlinie,,,nan,
450,Fachschaftsordnung 5/4 Geographie und Wirtschaftsgeographie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaasmkik,08.08.2016,2016/082,3. Änderungsordnung (Gesamtfassung),,,nan,
451,Fachschaftsordnung 10/3 Logopädie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaarqksj,25.05.2016,2016/046,Ordnung,,,nan,
452,Habilitationsordnung Fakultät für Wirtschaftswissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaariliv,28.04.2016,2016/038,2. Änderungsordnung (Gesamtfassung),,,nan,
453,Geschäftsordnung des Dekanats der Medizinischen Fakultät der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaqnjsu,04.03.2016,2016/021,Ordnung,,,nan,
454,Dauerbeschäftigungskonzept der RWTH,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaqnjls,04.03.2016,2016/019,Richtlinie,,,nan,
455,Leitlinie guter Beschäftigungsbedingungen für das Personal,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaqnjkt,04.03.2016,2016/018,Richtlinie,,,nan,
456,"Prüfungsordnung Physiotherapie, Bachelor, (09/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaqnjht,04.03.2016,2016/017,1. Änderungsordnung,,2011,Physiotherapie,
457,"Änderung der Auswahlkriterien für das Auswahlverfahren in den örtlich zulassungsbeschränkten Bachelorstudiengängen, Mathematik (B.SC), Mathematik (LAB-GyGe), Mathematik (LAB-BK)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaapzrzw,27.01.2016,2016/003,Ordnung,,,nan,
458,Geschäftsordnung des Fachschaftsrates der Fachschaft 5/4 Geographie und Wirtschaftsgeographie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaplhaz,08.12.2015,2015/176,1. Änderungsordnung,,,nan,
459,Ordnung zum Schutz personenbezogener Daten bei multimedialer Nutzung von E-Learning-Verfahren,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaolwek,01.10.2015,2015/146,Ordnung,,,nan,
460,"Prüfungsordnung Chemie, Bachelor, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaasvfhs,16.09.2015,2015/143,Ordnung,31.03.2025,2010 s,Chemie,
461,"Prüfungsordnung Sprach- und Kommunikationswissenschaft, Bachelor, (10/2015 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaoblmn,10.09.2015,2015/136,Ordnung,31.03.2027,2015 s,Sprach- u. Kommunikationswissenschaft,
462,Rahmenordnung zur Vergabe von Stipendien. Ergänzende Bestimmungen der AICES,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaantxoj,19.08.2015,2015/124,Ordnung,,,nan,
463,Raumvergabe-Entgeltregelung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaanplru,05.08.2015,2015/118,Ordnung,,,nan,
464,"Prüfungsordnung Production Systems Engineering, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaalxqiu,16.03.2015,2015/045,3. Änderungsordnung,,2013,Production Systems Engineering (privatrechtlich),
465,Abgabensatzung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaltxis,03.03.2015,2015/025,3. Änderungsordnung (Gesamtfassung),,,nan,
466,"Prüfungsordnung Redevelopment - Real Estate and Urban Management, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaakxjni,11.12.2014,2014/205,1. Änderungsordnung,,2013,Redevelopment – Real Estate and Urban Management,
467,"Prüfungsordnung Production Systems Engineering, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaajwhcr,30.09.2014,2014/162,2. Änderungsordnung (Gesamtfassung),,2013,Production Systems Engineering (privatrechtlich),
468,Geschäftsordnung der zentralen Gruppenvertretung NWM,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaahmsbs,14.03.2014,2014/034,Ordnung,,,nan,
469,Auswahlkriterien für das Auswahlverfahren in dem örtlich zulassungsbeschränkten Masterstudiengang Wirtschaftswissenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaguemd,22.01.2014,2014/008,Ordnung,,,Wirtschaftswissenschaft,
470,Richtlinie zum Schutz vor Benachteiligungen nach dem Allgemeinen Gleichbehandlungsgesetz (AGG) der RWTH-Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaagnjkx,16.12.2013,2013/131,Richtlinie,,,nan,
471,Rahmenordnung zur Vergabe von Stipendien,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaagdpbc,31.10.2013,2013/100,Ordnung,,,nan,
472,Fachschaftsordnung 7/2 Lehramt,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaafqjfm,06.09.2013,2013/084,2. Änderungsordnung (Gesamtfassung),,,nan,
473,"Prüfungsordnung Redevelopment - Real Estate and Urban Management, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaficsf,23.07.2013,2013/080,Ordnung,,2013,Redevelopment – Real Estate and Urban Management,
474,Raumvergabeordnung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaafaxlp,17.06.2013,2013/052,2. Änderungsordnung (Gesamtfassung),,,nan,
475,"Studienordnung Zahnmedizin, (04/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaenihv,03.04.2013,2013/031,Ordnung,,2013,Zahnmedizin,
476,Satzung des Studentenwerks Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaegjql,27.02.2013,2013/019,Ordnung,,,nan,
477,Habilitationsordnung Philosophische Fakultät,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaozey,04.01.2012,2012/002,Ordnung,,,nan,
478,Richtlinie zur Stipendienvergabe der NRW-Stipendien im Rahmen des Bildungsfonds,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaozdm,29.09.2011,2011/134,Richtlinie,,,nan,
479,"Prüfungsordnung Physiotherapie, Bachelor, (09/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaozcu,23.08.2011,2011/121,Ordnung,,2011,Physiotherapie,
480,Überlassungsordnung von Sportanlagen des Hochschulsportzentrums,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaozcf,11.08.2011,2011/107,Ordnung,,,nan,
481,Fachschaftsordnung 2 Architektur,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoyzb,29.04.2011,2011/046,Ordnung,,,nan,
482,"Gebührenordnung, Hochschulbibliothek",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoytw,14.10.2010,2010/079,Ordnung,,,nan,
483,Netzordnung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaddfye,05.10.2010,2010/071,2. Änderungsordnung (Gesamtfassung),,,nan,
484,"Netzordnung, Ausführungsbestimmungen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaddfxj,05.10.2010,2010/070,2. Änderungsordnung (Gesamtfassung),,,nan,
485,Richtlinie zur Vergabe von UROP-Stipendien,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoyrf,10.03.2010,2010/019,Richtlinie,,,nan,
486,Verfahrensordnung zur Geschäftsordnung der zentralen Gruppenvertretung der NWM,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoyqw,17.02.2010,2010/010,Ordnung,,,nan,
487,Fachschaftsordnung 8 Wirtschaftswissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaayjkt,16.03.2009,2009/014,1. Änderungsordnung,,,nan,
488,Richtlinie für die Exzellenzinitiative,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoyid,18.07.2008,2008/072,Richtlinie,,,nan,
489,"Ethik: Gebührenordnung Ethik-Kommission, Medizinischen Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoygq,25.03.2008,2008/033,Ordnung,,,nan,
490,"Prüfungsordnung Life Science Informatics (Biologische Informatik) der Uni Bonn & RWTH Aachen, Master, (10/2003)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoygd,27.02.2008,2008/020,2. Änderungsordnung,,2003,Life Science Informatics,
491,"Prüfungsordnung Life Science Informatics (Biologische Informatik) der Uni Bonn & RWTH Aachen, Master, (10/2003)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoygc,27.02.2008,2008/019,1. Änderungsordnung,,2003,Life Science Informatics,
492,Geschäftsordnung der Fakultätenkonferenz,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoyeu,14.12.2007,2007/106,Ordnung,,,nan,
493,"Ordnung zur Verleihung ""Gastprofessorin"" bzw. ""Gastprofessor""",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoyed,14.11.2007,2007/090,Ordnung,,,nan,
494,Anordnung über die Übertragung der Widerspruchzuständigkeit,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoybg,12.03.2007,2007/016,Ordnung,,,nan,
495,"Studienordnung Medizin, Klinischer Abschnitt, (10/2003)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoyaw,25.01.2007,2007/006,2. Änderungsordnung,,2003,Medizin (910),
496,"Benutzungsordnung, Bibliothek, Institut für Kunstgeschichte",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxza,31.07.2006,1107,1. Änderungsordnung,,,nan,
497,"Studienordnung Medizin, Klinischer Abschnitt, (10/2003)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxyi,04.04.2006,1089,1. Änderungsordnung (Gesamtfassung),,2003,Medizin (910),
498,Parkplatzrahmenordnung (PpRO),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxvd,24.08.2005,1008,Ordnung,,,nan,
499,"Studienordnung Communications Engineering, Master, (07/2003)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxtd,04.03.2005,0956,2. Änderungsordnung,,2003,Communications Engineering,
500,"Benutzungsordnung, Bibliothek, Institut für Kunstgeschichte",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxsa,30.11.2004,0927,Ordnung,,,nan,
501,Satzung Allgemeiner Stiftungsfond,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxrj,04.07.2006,0910,1. Änderungsordnung,,,nan,
502,"Studienordnung Communications Engineering, Master, (07/2003)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxqz,13.08.2004,0900,1. Änderungsordnung,,2003,Communications Engineering,
503,"Ordnung zur Verleihung des Grades Diplom-Wirtschaftslehrer/in (FB 1, FB 7 & FB 8)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxps,11.05.2004,0868,Berichtigung der Ordnung,,,nan,
504,"Ordnung zur Verleihung des Grades Diplom-Gewerbelehrer/in (FB 1, 2, 3, 4, 6,7)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxoy,23.01.2004,0850,Ordnung,,,nan,
505,"Ordnung zur Verleihung des Grades Diplom-Wirtschaftslehrer/in (FB 1, FB 7 & FB 8)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxor,15.01.2004,0845,Ordnung,,,nan,
506,Ordnung zur Verleihung des Grades Diplom-Gymnasiallehrer/in (FB 1 & FB 7),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxop,15.01.2004,0844,Ordnung,,,nan,
507,Verwaltungsordnung der Fachbereichsbibliothek Wirtschaftswissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxol,15.01.2004,0842,Ordnung,,,nan,
508,"Prüfungsordnung Life Science Informatics (Biologische Informatik) der Uni Bonn & RWTH Aachen, Master, (10/2003)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxnt,02.10.2003,0828,Ordnung,,2003,Life Science Informatics,
509,"Studienordnung Communications Engineering, Master, (07/2003)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxmt,04.07.2003,0806,Ordnung,,2003,Communications Engineering,
510,"Prüfungsordnung Elektrische Energietechnik, Master, (10/2002)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxmk,04.07.2003,0797,Berichtigung der Ordnung,,2002,Energietechnik,
511,AVV des Kanzlers über den Vollzug von Rechtsvorschriften des Arbeits- u. Umweltschutzes,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxft,11.10.2001,0650,Ordnung,,,nan,
512,Wahlordnung zur Klinikumskonferenz,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxez,12.04.2001,0630,Ordnung,,,nan,
513,Umbenennung der Fakultät für Bauingenieur- und Vermessungswesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxac,02.07.1999,0521,Sonstiges,,,nan,
514,Umbenennung der Fakultät für Elektrotechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaowzu,21.05.1999,0516,Sonstiges,,,nan,
515,Umbenennung der Mathematisch-Naturwissenschaftlichen Fakultät,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaowzs,21.05.1999,0515,Sonstiges,,,nan,
516,Benutzungsordnung des Gemeinschaftslabors für Elektronenmikroskopie (GfE) der RWTH-Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaowvr,08.03.1996,0441,Ordnung,,,nan,
